"Experiment","Run","Number","Feature","Margs"
"S1",5,"Feature1","x4*x2",0.999958563098488
"S1",5,"Feature2","troot(x4*x4)",0.999853330860896
"S1",5,"Feature3","x4",0.0847341890717281
"S2",5,"Feature1","x4",1
"S2",5,"Feature2","x4*troot(x4)",0.999999999999884
"S2",5,"Feature3","x10*x4",0.999999206718868
"S2",5,"Feature4","x2",0.187008510051023
"S2",5,"Feature5","x7",0.17906565756756
"S2",5,"Feature6","p3(x4)",0.00214482481910202
"S3",5,"Feature1","troot(x4*(x4*x7))",0.999277382657248
"S3",5,"Feature2","x4",0.159956157790878
"S3",5,"Feature3","p0(x4)",0.0226899805122574
"S3",5,"Feature4","troot(x4)",0.0049636241704571
"S3",5,"Feature5","x4*x7",0.00123583636926689
"S3",5,"Feature6","x4*x6",0.00111905120960124
"S4",5,"Feature1","x4*x3",0.99999582739552
"S4",5,"Feature2","troot(x4*x4)",0.999995483031663
"S4",5,"Feature3","x4",0.155637368217093
"S5",5,"Feature1","troot(x4*x4)",1
"S5",5,"Feature2","x2*x4",0.99355928233935
"S5",5,"Feature3","x4",0.0846999346771684
"S5",5,"Feature4","x2*(x4*x7)",0.00657037730512785
"S6",5,"Feature1","x4",1
"S6",5,"Feature2","x10*x4",0.999999999998006
"S6",5,"Feature3","x4*troot(x4)",0.999999999215258
"S6",5,"Feature4","x1",0.0728149313126972
"S6",5,"Feature5","x5",0.00322220620271793
"S6",5,"Feature6","x9",0.00322220315960943
"S6",5,"Feature7","p3(x4)",0.00322220235936838
