"Experiment","Run","Number","Feature","Margs"
"P1",6,"Feature1","x11*x6",1
"P1",6,"Feature2","x11",1
"P1",6,"Feature3","p0(x13)",1
"P1",6,"Feature4","x7",0.999999999068314
"P1",6,"Feature5","x7*x6",0.999999995880018
"P1",6,"Feature6","x13*x7",0.999999995182078
"P1",6,"Feature7","x13*x11",0.999993330873037
"P1",6,"Feature8","x8",0.999943173108764
"P1",6,"Feature9","x1",0.993105172329432
"P1",6,"Feature10","x5",0.976814350893133
"P1",6,"Feature11","x12",0.901175639471573
"P1",6,"Feature12","x13",0.753388523283384
"P1",6,"Feature13","x6",0.687761518464486
"P1",6,"Feature14","x13",0.650088787717892
"P1",6,"Feature15","x6",0.587982543948062
"P1",6,"Feature16","x1*x5",0.0126182917420449
"P1",6,"Feature17","p0(x1)",0.00364721326627025
"P2",6,"Feature1","x13*x9",1
"P2",6,"Feature2","p3(x6)",1
"P2",6,"Feature3","x6*x9",1
"P2",6,"Feature4","x9*sigmoid(x13)",1
"P2",6,"Feature5","x11",1
"P2",6,"Feature6","x10",1
"P2",6,"Feature7","x12",1
"P2",6,"Feature8","x8",0.999999998627469
"P2",6,"Feature9","x1",0.999999998627469
"P2",6,"Feature10","x7",0.999999998627468
"P2",6,"Feature11","x5",0.986584918122761
"P2",6,"Feature12","x9",0.567783758770765
"P2",6,"Feature13","x9",0.457729925417334
"P2",6,"Feature14","x9",0.406702556071245
"P2",6,"Feature15","x9",0.135567519600409
"P2",6,"Feature16","x2",0.0376122873346184
"P2",6,"Feature17","x13",0.00288843838882803
"P3",6,"Feature1","p0(x13)",0.999999999999897
"P3",6,"Feature2","x11*x6",0.999999999417356
"P3",6,"Feature3","x11",0.999999992210041
"P3",6,"Feature4","x5",0.919202891659526
"P3",6,"Feature5","x6*x6",0.849422409938337
"P3",6,"Feature6","x13",0.840038947737236
"P3",6,"Feature7","x11*x13",0.835930220499118
"P3",6,"Feature8","x8",0.719521827976579
"P3",6,"Feature9","x8",0.668067502003638
"P3",6,"Feature10","x8",0.569961538615004
"P3",6,"Feature11","x1",0.52345119270413
"P3",6,"Feature12","x1",0.481056794798967
"P3",6,"Feature13","x1",0.47668785736899
"P3",6,"Feature14","x1",0.417520404002406
"P3",6,"Feature15","x8",0.329926971031467
"P3",6,"Feature16","x12",0.169268774360804
"P3",6,"Feature17","x6",0.166081145619752
"P3",6,"Feature18","x2",0.0170410106891222
"P3",6,"Feature19","x2",0.0125603927436054
"P3",6,"Feature20","x3",0.00207532177394873
"P4",6,"Feature1","x9*exp_dbl(x13)",1
"P4",6,"Feature2","x13*x10",1
"P4",6,"Feature3","x6*x10",1
"P4",6,"Feature4","x6*x6",0.999999998052685
"P4",6,"Feature5","x1",0.999992088711777
"P4",6,"Feature6","x8",0.998034207442955
"P4",6,"Feature7","x11",0.992286746797247
"P4",6,"Feature8","x10",0.941497860267558
"P4",6,"Feature9","x9",0.935516949206276
"P4",6,"Feature10","x12",0.932774481294219
"P4",6,"Feature11","x5",0.836404336261406
"P4",6,"Feature12","x10",0.732455698891228
"P4",6,"Feature13","x5",0.311684056530632
"P4",6,"Feature14","x11",0.281119433061525
"P4",6,"Feature15","x12",0.178859803815015
"P4",6,"Feature16","x13",0.0217360617075615
"P4",6,"Feature17","x6",0.0186935881590654
"P4",6,"Feature18","x6",0.00940097115792376
"P5",6,"Feature1","exp_dbl(x13)*x9",1
"P5",6,"Feature2","x13",0.999999999999966
"P5",6,"Feature3","x6*x10",0.999999624174514
"P5",6,"Feature4","p3(x6)",0.999970778596493
"P5",6,"Feature5","x5",0.998343173646783
"P5",6,"Feature6","x12",0.96882271169693
"P5",6,"Feature7","x11",0.865549287543576
"P5",6,"Feature8","x1",0.781126985084912
"P5",6,"Feature9","x8",0.780546875698378
"P5",6,"Feature10","x10",0.746912215874242
"P5",6,"Feature11","x9",0.704690205773733
"P5",6,"Feature12","x10",0.64530798438434
"P5",6,"Feature13","x1",0.62958797989608
"P5",6,"Feature14","x8",0.518234337846781
"P5",6,"Feature15","x11",0.446647348180118
"P5",6,"Feature16","x6",0.0803669420826469
"P5",6,"Feature17","x9*x13",0.0481130497302367
"P5",6,"Feature18","x6",0.0402876873421201
"P6",6,"Feature1","x6*x6",1
"P6",6,"Feature2","x1*sigmoid(x13)",1
"P6",6,"Feature3","x10*x13",0.999999999998455
"P6",6,"Feature4","x10",0.999999999936902
"P6",6,"Feature5","x6*x10",0.999999999934279
"P6",6,"Feature6","x11",0.999999999287616
"P6",6,"Feature7","x7",0.999985572284583
"P6",6,"Feature8","x1",0.999442444779248
"P6",6,"Feature9","x8",0.997585829232972
"P6",6,"Feature10","x12",0.940942726687581
"P6",6,"Feature11","x1",0.469584104770409
"P6",6,"Feature12","p3(x10)",0.00161038286163245
